Symbol,Close_2025_05_13,Price_2025_05_14,Trend
ACGL,93.41999817,90.85,Negative
ADBE,397.3999939,398.29,Positive
ADI,226.6799927,224.91,Negative
ADSK,297.0100098,294.16,Negative
AFRM,53.93999863,55.31,Positive
ALAB,87.76000214,87.85,Positive
ALGN,190.4199982,188,Negative
ALNY,266.8599854,267.99,Positive
AMAT,173.0299988,172.58,Negative
AMD,112.4599991,116.3,Positive
AMZN,211.3699951,207.62,Negative
APP,370.1000061,366.99,Negative
ARCC,21.78000069,21.71,Negative
ARGX,542.4699707,542.42,Negative
ARM,126.6800003,132,Positive
ASML,763.9000244,763.02,Negative
AVGO,232.4199982,228.44,Negative
AXON,724.7700195,726.08,Positive
AZN,67.72000122,67.14,Negative
BIDU,91.08999634,91.45,Positive
BKNG,5262.419922,5216.55,Negative
BKR,38.18000031,37.28,Negative
BMRN,59.77999878,58.7,Negative
BNTX,94.5,92.23,Negative
BSY,48.13999939,47.95,Negative
CART,44.31000137,44.3,Negative
CASY,432.7999878,430.86,Negative
CCEP,87.38999939,86.62,Negative
CDNS,318.6600037,316.66,Negative
CDW,190.6799927,189.32,Negative
CEG,291.519989,285,Negative
COO,81.76000214,77.23,Negative
COST,999.0300293,992.3,Negative
CRWD,440.2000122,431.45,Negative
CSCO,61.77999878,63.64,Positive
CSGP,75.18000031,75.69,Positive
CSX,30.54000092,30.92,Positive
CYBR,361.2900085,353.49,Negative
DASH,197.8000031,195.09,Negative
DDOG,117.3099976,117.51,Positive
DKNG,37.68000031,37.77,Positive
DOX,91.12000275,89.11,Negative
DPZ,484.3999939,483.23,Negative
DRS,40.63999939,40.38,Negative
DUOL,531.460022,535.5,Positive
DXCM,84.11000061,86.28,Positive
ENTG,83.13999939,80.15,Negative
EQIX,868.789978,855.7,Negative
EVRG,64.76000214,64.06,Negative
EWBC,96,95.69,Negative
EXAS,53.66999817,54.87,Positive
EXE,113.0999985,111.9,Negative
FANG,146.1699982,144.82,Negative
FCNCA,1955.119995,1962.92,Positive
FER,48.52000046,49.92,Positive
FITB,39.43000031,39.37,Negative
FLEX,41.84999847,42.06,Positive
FSLR,191.6000061,190.41,Negative
FTAI,117.8099976,117.61,Negative
FUTU,112.3399963,107.25,Negative
FWONA,88.52999878,88.51,Negative
FWONK,96.48000336,96.01,Negative
GEHC,73.83000183,72.84,Negative
GEN,29.10000038,28.6,Negative
GFS,39.70000076,40.03,Positive
GILD,101.4300003,98.38,Negative
GOOG,160.8899994,165.05,Positive
GOOGL,159.5299988,163.63,Positive
GRAB,5.03000021,5.19,Positive
HBAN,16.09000015,16.09,Negative
HON,218.2200012,216.62,Negative
HOOD,62.56999969,59.3,Negative
HST,15.76000023,15.5,Negative
HTHT,37.91999817,37.36,Negative
IBKR,202.7799988,200.1,Negative
ICLR,140.4900055,132,Negative
IDXX,509.1300049,505.91,Negative
INSM,65.70999908,65.91,Positive
INTU,656.7999878,650.7,Negative
ISRG,563.9500122,563.02,Negative
JBHT,147.3200073,147.3,Negative
JD,37.25,34.87,Negative
KDP,33.08000183,32.72,Negative
KLAC,795.9000244,799.4,Positive
KSPI,80.73999786,82.06,Positive
LBRDA,94.48000336,95.17,Positive
LBRDK,95.25,96.39,Positive
LECO,195.5700073,195.76,Positive
LI,27.95999908,28.54,Positive
LIN,450.6700134,445.4,Negative
LKQ,42.08000183,42.02,Negative
LPLA,382.9899902,381.63,Negative
LRCX,85.25,83.9,Negative
MANH,195.5399933,193.99,Negative
MCHP,62.29999924,60.05,Negative
MDB,195.8999939,191.84,Negative
MDLZ,64.13999939,63.54,Negative
MELI,2515.120117,2550,Positive
META,656.0300293,651.74,Negative
MMYT,106.5899963,103.6,Negative
MNDY,290.4899902,287.35,Negative
MORN,307.4899902,306.41,Negative
MPWR,737.7299805,730.97,Negative
MRVL,65.48000336,65,Negative
MSFT,449.1400146,449.48,Positive
MSTR,421.6099854,410.64,Negative
MU,96.93000031,93.7,Negative
NBIX,116.8700027,120,Positive
NDAQ,81.56999969,81.06,Negative
NFLX,1138.439941,1147.47,Positive
NICE,166.8200073,170.42,Positive
NTES,106.4000015,110.48,Positive
NTNX,82.40000153,81.83,Negative
NTRA,152.2799988,150.16,Negative
NVDA,129.9299927,133.12,Positive
NWS,32.84999847,32.9,Positive
NWSA,28.21999931,28.27,Positive
NXPI,212.3999939,210.15,Negative
OKTA,124.0500031,123.34,Negative
ONC,224.7299957,219.95,Negative
ORLY,1320.800049,1325.73,Positive
PANW,192,190.13,Negative
PCTY,199.2299957,199.47,Positive
PDD,119.4499969,117.25,Negative
PODD,314.4599915,319.41,Positive
PTC,170.9600067,170.21,Negative
REG,73.05000305,72.2,Negative
REGN,574.1599731,576.27,Positive
RGLD,169.2599945,165.63,Negative
ROKU,71.40000153,71,Negative
ROP,577.0700073,562.5,Negative
ROST,149.3300018,151.1,Positive
RPRX,32.81999969,32.29,Negative
RYAAY,49.86000061,51.3,Positive
SAIL,19.57999992,18.99,Negative
SBAC,225.8200073,222.73,Negative
SHOP,107.6800003,110.46,Positive
SMMT,24.61000061,22.75,Negative
SNPS,515.710022,513.21,Negative
SNY,49.95999908,50.07,Positive
SSNC,79.66000366,79.18,Negative
STLD,135.4199982,133.74,Negative
STX,105.4700012,105.19,Negative
TCOM,66.23999786,66.38,Positive
TEAM,229.5200043,223.7,Negative
TER,84.90000153,83.89,Negative
TLN,241.0800018,242.33,Positive
TMUS,237.3399963,235.53,Negative
TRMB,71.25,70.94,Negative
